 Date :18/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 2 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-16,96,197351,39709167,854206,1584994,500700.011191517,33739998.3974361,33552998.4063181,33507998.4084555,2,2,2,-160999.992352911
00:15,-16,95,197355,39709167,854206,1585018,499800.011171401,33659998.4012359,33448998.4112578,33358998.4155326,2,2,2,-160999.992352911
00:30,-15,95,197359,39709167,854206,1585041,500300.011182577,33681998.4001909,33407998.4132052,33353998.4157701,2,2,2,-159999.992400408
00:45,-16,95,197363,39709167,854206,1585066,500100.011178106,33687998.3999059,33560998.4059381,33416998.4127777,2,2,2,-160999.992352911
01:00,-15,95,197366,39709167,854206,1585089,500100.011178106,33692998.3996684,33483998.4095954,33362998.4153426,2,2,2,-159999.992400408
01:15,-15,96,197370,39709167,854206,1585113,500500.011187047,33716998.3985285,33613998.4034207,33507998.4084555,2,2,2,-158999.992447906
01:30,-16,95,197374,39709167,854206,1585137,500100.011178106,33728998.3979585,33502998.408693,33414998.4128727,2,2,2,-161999.992305413
01:45,-15,96,197378,39709167,854206,1585161,500500.011187047,33719998.398386,33577998.4051307,33475998.4099754,2,2,2,-159999.992400408
02:00,-16,95,197382,39709167,854206,1585185,499800.011171401,33703998.399146,33517998.4079805,33435998.4118753,2,2,2,-160999.992352911
02:15,-16,95,197386,39709167,854206,1585208,500100.011178106,33747998.3970561,33491998.4092154,33429998.4121603,2,2,2,-160999.992352911
02:30,-16,95,197390,39709167,854206,1585232,499700.011169166,33674998.4005234,33569998.4055106,33424998.4123978,2,2,2,-160999.992352911
02:45,-15,95,197393,39709167,854206,1585256,499400.01116246,33635998.4023758,33527998.4075055,33410998.4130627,2,2,2,-159999.992400408
03:00,-15,95,197397,39709167,854206,1585280,500200.011180341,33719998.398386,33558998.4060331,33454998.4109728,2,2,2,-158999.992447906
03:15,-15,95,197401,39709167,854206,1585304,499500.011164695,33618998.4031833,33533998.4072205,33414998.4128727,2,2,2,-159999.992400408
03:30,-15,95,197405,39709167,854206,1585327,499400.01116246,33667998.4008559,33497998.4089305,33387998.4141552,2,2,2,-159999.992400408
03:45,-15,95,197409,39709167,854206,1585352,500000.011175871,33712998.3987185,33540998.4068881,33449998.4112103,2,2,2,-159999.992400408
04:00,-16,95,197413,39709167,854206,1585375,500100.011178106,33799998.3945862,33611998.4035157,33481998.4096904,2,2,2,-161999.992305413
04:15,-16,95,197417,39709167,854206,1585399,499700.011169166,33708998.3989085,33613998.4034207,33518998.407933,2,2,2,-161999.992305413
04:30,-16,95,197421,39709167,854206,1585422,499700.011169166,33700998.3992885,33651998.4016158,33526998.407553,2,2,2,-160999.992352911
04:45,-16,95,197425,39709167,854206,1585447,499800.011171401,33796998.3947287,33656998.4013784,33533998.4072205,2,2,2,-161999.992305413
05:00,-16,95,197428,39709167,854206,1585470,499100.011155755,33723998.398196,33578998.4050832,33486998.4094529,2,2,2,-161999.992305413
05:15,-16,96,197432,39709167,854206,1585495,500400.011184812,33742998.3972936,33667998.4008559,33559998.4059856,2,2,2,-161999.992305413
05:30,-16,96,197436,39709167,854206,1585518,500200.011180341,33678998.4003334,33564998.4057481,33450998.4111628,2,2,2,-159999.992400408
05:45,-15,95,197440,39709167,854206,1585542,498900.011151284,33483998.4095954,33379998.4145352,33255998.4204248,2,2,2,-159999.992400408
06:00,-28,89,197444,39709167,854206,1585565,499900.011173636,33629998.4026608,33474998.4100229,33357998.4155801,6,5,5,-300999.985703268
06:15,46,87,197447,39709169,854206,1585588,499900.011173636,33528998.407458,33416998.4127777,33315998.417575,7,6,6,463999.977961184
06:30,36,93,197447,39709194,854206,1585610,500100.011178106,33464998.4104979,33330998.4168625,33196998.4232272,3,3,3,365999.982615934
06:45,422,92,197447,39709254,854206,1585633,500700.011191517,33539998.4069356,33400998.4135377,33371998.4149151,8,8,11,976999.953594992
07:00,725,90,197447,39709395,854206,1585656,499900.011173636,33460998.4106879,33321998.41729,33308998.4179075,12,12,15,991999.952882531
07:15,1145,87,197447,39709634,854206,1585679,500500.011187047,33394998.4138227,33235998.4213748,33186998.4237022,19,20,22,996999.952645043
07:30,1592,79,197447,39709969,854206,1585699,500100.011178106,33779998.3955362,33608998.4036582,33391998.4139652,26,28,30,998999.952550048
07:45,2115,63,197447,39710441,854206,1585717,499800.011171401,33960998.3869391,33632998.4025183,33767998.3961061,34,37,39,999999.952502551
08:00,2601,46,197447,39711023,854206,1585730,500400.011184812,34058998.3822844,33795998.3947762,33823998.3934463,42,44,47,999999.952502551
08:15,3111,23,197447,39711761,854206,1585740,500100.011178106,34135998.3786271,33760998.3964386,33879998.3907864,51,54,56,999999.952502551
08:30,3561,1,197447,39712569,854206,1585744,500500.011187047,34187998.3761572,33851998.3921164,33925998.3886015,58,61,63,999999.952502551
08:45,4027,-24,197447,39713537,854209,1585744,500400.011184812,34083998.3810969,33654998.4014734,33895998.3900265,66,70,71,999999.952502551
09:00,4434,-48,197447,39714574,854219,1585744,500500.011187047,34134998.3786746,33803998.3943962,33964998.3867491,72,76,78,999999.952502551
09:15,4846,-81,197447,39715730,854235,1585744,500200.011180341,34150998.3779146,33706998.3990035,33872998.3911189,79,84,86,999999.952502551
09:30,5218,-108,197447,39716989,854258,1585744,500600.011189282,34082998.3811444,33711998.398766,33886998.3904539,85,90,92,999999.952502551
09:45,5553,-137,197447,39718399,854291,1585744,500100.011178106,34006998.3847542,33539998.4069356,33769998.3960111,91,97,98,999999.952502551
10:00,5854,-161,197447,39719754,854326,1585744,501200.011202693,34053998.3825219,33595998.4042757,33799998.3945862,96,102,103,999999.952502551
10:15,6088,-190,197447,39721310,854372,1585744,499900.011173636,33952998.3873191,33430998.4121128,33687998.3999059,100,107,107,999999.952502551
10:30,6341,-218,197447,39722792,854420,1585744,500200.011180341,33983998.3858467,33522998.407743,33715998.398576,104,110,112,-998999.952550048
10:45,5703,-170,197447,39724426,854478,1585744,500400.011184812,33878998.3908339,33455998.4109253,33702998.3991935,94,100,101,999999.952502551
11:00,7325,-315,197447,39725853,854524,1585745,500700.011191517,33967998.3866066,33523998.4076955,33731998.397816,121,128,129,-998999.952550048
11:15,7663,-355,197447,39727420,854582,1585745,500700.011191517,34012998.3844693,33608998.4036582,33819998.3936363,127,133,134,-998999.952550048
11:30,7003,-282,197447,39728699,854617,1585745,501000.011198223,34028998.3837093,33558998.4060331,33769998.3960111,115,122,123,-998999.952550048
11:45,7809,-368,197447,39730071,854663,1585748,500100.011178106,33920998.388839,33559998.4059856,33799998.3945862,130,136,136,-998999.952550048
12:00,1993,61,197447,39731538,854720,1585751,501000.011198223,33885998.3905014,33509998.4083605,33705998.399051,32,35,36,999999.952502551
12:15,1881,66,197447,39732630,854749,1585756,500000.011175871,34024998.3838993,33664998.4009984,33819998.3936363,30,33,34,998999.952550048
12:30,6124,-203,197447,39733866,854786,1585759,501000.011198223,34191998.3759672,33791998.3949662,34008998.3846593,100,106,107,-998999.952550048
12:45,1798,68,197447,39735175,854833,1585764,500400.011184812,34116998.3795295,33681998.4001909,33915998.3890765,29,32,33,998999.952550048
13:00,7622,-332,197447,39736825,854902,1585766,501100.011200458,34448998.3637604,33969998.3865117,34236998.3738298,124,131,132,-998999.952550048
13:15,7565,-329,197447,39738709,854983,1585766,500200.011180341,34332998.3692701,33954998.3872241,34152998.3778196,124,130,131,-998999.952550048
13:30,5418,-133,197447,39740264,855037,1585766,500600.011189282,34278998.3718349,33883998.3905964,34080998.3812394,88,93,95,999999.952502551
13:45,2154,59,197447,39741545,855076,1585770,500200.011180341,34070998.3817144,33633998.4024708,33875998.3909764,34,38,39,999999.952502551
14:00,7224,-294,197447,39743051,855128,1585770,500700.011191517,34262998.3725949,33817998.3937313,34041998.3830918,118,125,126,-998999.952550048
14:15,2150,58,197447,39743790,855141,1585782,500400.011184812,34101998.380242,33681998.4001909,33865998.3914514,34,38,39,999999.952502551
14:30,1301,74,197447,39744939,855173,1585786,499600.01116693,33977998.3861317,33522998.407743,33709998.398861,20,24,25,997999.952597546
14:45,6293,-204,197447,39746097,855205,1585791,498900.011151284,34108998.3799095,33754998.3967236,33918998.388934,103,109,110,-998999.952550048
15:00,1240,79,197447,39747273,855235,1585796,499300.011160225,33947998.3875566,33646998.4018533,33743998.3972461,20,22,24,997999.952597546
15:15,5533,-136,197447,39748452,855262,1585799,498600.011144579,34022998.3839943,33712998.3987185,33861998.3916414,91,95,97,999999.952502551
15:30,5148,-104,197447,39749757,855289,1585799,499700.011169166,34067998.3818569,33781998.3954412,33907998.3894565,85,89,90,999999.952502551
15:45,4788,-76,197447,39750983,855311,1585799,500100.011178106,34157998.3775821,33814998.3938738,33945998.3876516,78,82,84,999999.952502551
16:00,4422,-50,197447,39752149,855328,1585799,500700.011191517,34165998.3772022,33799998.3945862,33955998.3871766,72,76,78,999999.952502551
16:15,3892,-19,197447,39752822,855330,1585808,500300.011182577,34117998.379482,33707998.398956,33861998.3916414,63,67,69,999999.952502551
16:30,3633,-3,197447,39753818,855336,1585808,500400.011184812,34001998.3849917,33699998.399336,33813998.3939213,59,62,65,999999.952502551
16:45,2945,31,197447,39754431,855336,1585819,500400.011184812,34104998.3800995,33786998.3952037,33851998.3921164,48,51,53,999999.952502551
17:00,1216,80,197447,39755105,855336,1585829,500600.011189282,33998998.3851342,33753998.3967711,33822998.3934938,20,21,23,997999.952597546
