 Date :17/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 2 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-16,95,197166,39661252,852639,1583550,499800.011171401,33943998.3877466,33701998.399241,33587998.4046557,2,2,2,-163999.992210418
00:15,-16,95,197170,39661252,852639,1583574,499900.011173636,33814998.3938738,33633998.4024708,33511998.4082655,2,2,2,-161999.992305413
00:30,-16,95,197174,39661252,852639,1583597,499400.01116246,33831998.3930663,33606998.4037532,33542998.4067931,2,2,2,-162999.992257916
00:45,-16,95,197178,39661252,852639,1583621,500300.011182577,33917998.3889815,33678998.4003334,33586998.4047032,2,2,2,-163999.992210418
01:00,-16,95,197182,39661252,852639,1583645,499900.011173636,33862998.3915939,33628998.4027083,33496998.4089779,2,2,2,-162999.992257916
01:15,-16,95,197186,39661252,852639,1583669,500300.011182577,34035998.3833768,33814998.3938738,33704998.3990985,2,2,2,-166999.992067926
01:30,-16,95,197190,39661252,852639,1583693,499800.011171401,34033998.3834718,33825998.3933513,33712998.3987185,2,2,2,-165999.992115423
01:45,-16,95,197194,39661252,852639,1583716,499600.01116693,33993998.3853717,33739998.3974361,33651998.4016158,2,2,2,-166999.992067926
02:00,-16,95,197198,39661252,852639,1583740,500600.011189282,34159998.3774871,33883998.3905964,33801998.3944912,2,2,2,-164999.992162921
02:15,-16,95,197202,39661252,852639,1583765,500300.011182577,34112998.3797195,33920998.388839,33793998.3948712,2,2,2,-165999.992115423
02:30,-16,95,197206,39661252,852639,1583788,500500.011187047,34077998.3813819,33896998.389979,33809998.3941112,2,2,2,-163999.992210418
02:45,-16,95,197210,39661252,852639,1583812,500000.011175871,34077998.3813819,33851998.3921164,33803998.3943962,2,2,2,-164999.992162921
03:00,-16,95,197214,39661252,852639,1583835,500200.011180341,33973998.3863217,33866998.3914039,33712998.3987185,2,2,2,-163999.992210418
03:15,-16,96,197218,39661252,852639,1583861,500300.011182577,33962998.3868441,33806998.3942537,33667998.4008559,2,2,2,-162999.992257916
03:30,-16,95,197222,39661252,852639,1583885,500400.011184812,33963998.3867966,33775998.3957262,33632998.4025183,2,2,2,-163999.992210418
03:45,-16,95,197226,39661252,852639,1583909,500200.011180341,33913998.3891715,33784998.3952987,33636998.4023283,2,2,2,-162999.992257916
04:00,-16,96,197230,39661252,852639,1583933,500800.011193753,33968998.3865592,33858998.3917839,33682998.4001434,2,2,2,-163999.992210418
04:15,-16,96,197234,39661252,852639,1583957,500700.011191517,34014998.3843743,33787998.3951562,33686998.3999534,2,2,2,-162999.992257916
04:30,-16,96,197238,39661252,852639,1583980,500400.011184812,33993998.3853717,33825998.3933513,33682998.4001434,2,2,2,-163999.992210418
04:45,-16,96,197242,39661252,852639,1584004,500700.011191517,34055998.3824269,33838998.3927338,33688998.3998584,2,2,2,-161999.992305413
05:00,-16,96,197246,39661252,852639,1584028,500600.011189282,34077998.3813819,33912998.389219,33827998.3932563,2,2,2,-164999.992162921
05:15,-16,95,197250,39661252,852639,1584052,500000.011175871,33988998.3856092,33830998.3931138,33679998.4002859,2,2,2,-163999.992210418
