 Date :21/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 2 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-15,95,197902,39865724,858325,1589260,499600.01116693,33368998.4150576,33361998.4153901,33188998.4236072,2,2,2,-155999.992590398
00:15,-15,95,197905,39865724,858325,1589284,499700.011169166,33360998.4154376,33300998.4182874,33140998.425887,2,2,2,-155999.992590398
00:30,-15,95,197909,39865724,858325,1589307,499100.011155755,33370998.4149626,33398998.4136327,33174998.4242721,2,2,2,-155999.992590398
00:45,-15,95,197913,39865724,858325,1589331,499400.01116246,33489998.4093104,33453998.4110203,33253998.4205198,2,2,2,-156999.9925429
01:00,-15,95,197917,39865724,858325,1589355,500500.011187047,33524998.407648,33591998.4044657,33332998.4167675,2,2,2,-156999.9925429
01:15,-15,95,197920,39865724,858325,1589379,500500.011187047,33591998.4044657,33609998.4036107,33416998.4127777,2,2,2,-158999.992447906
01:30,-15,95,197924,39865724,858325,1589402,500200.011180341,33537998.4070306,33592998.4044182,33336998.4165775,2,2,2,-156999.9925429
01:45,-15,96,197928,39865724,858325,1589426,500500.011187047,33571998.4054156,33567998.4056056,33365998.4152001,2,2,2,-155999.992590398
02:00,-15,96,197932,39865724,858325,1589450,500600.011189282,33619998.4031358,33675998.4004759,33411998.4130152,2,2,2,-157999.992495403
02:15,-15,95,197936,39865724,858325,1589474,500400.011184812,33720998.3983385,33665998.4009509,33410998.4130627,2,2,2,-158999.992447906
02:30,-15,95,197939,39865724,858325,1589498,499500.011164695,33543998.4067456,33455998.4109253,33252998.4205673,2,2,2,-156999.9925429
02:45,-15,94,197943,39865724,858325,1589522,498900.011151284,33543998.4067456,33555998.4061756,33310998.4178125,2,2,2,-159999.992400408
03:00,-15,95,197947,39865724,858325,1589545,499600.01116693,33602998.4039432,33514998.408123,33314998.4176225,2,2,2,-158999.992447906
03:15,-16,94,197951,39865724,858325,1589569,499100.011155755,33600998.4040382,33597998.4041807,33404998.4133477,2,2,2,-161999.992305413
03:30,-16,94,197955,39865724,858325,1589593,498100.011133403,33574998.4052731,33606998.4037532,33400998.4135377,2,2,2,-163999.992210418
03:45,-16,95,197959,39865724,858325,1589616,499400.01116246,33672998.4006184,33676998.4004284,33435998.4118753,2,2,2,-161999.992305413
04:00,-15,95,197963,39865724,858325,1589640,500300.011182577,33753998.3967711,33755998.3966761,33527998.4075055,2,2,2,-159999.992400408
04:15,-16,95,197966,39865724,858325,1589664,500100.011178106,33736998.3975786,33761998.3963911,33507998.4084555,2,2,2,-160999.992352911
04:30,-16,96,197970,39865724,858325,1589688,500600.011189282,33803998.3943962,33835998.3928763,33556998.4061281,2,2,2,-160999.992352911
04:45,-16,95,197974,39865724,858325,1589711,499700.011169166,33797998.3946812,33820998.3935888,33544998.4066981,2,2,2,-161999.992305413
05:00,-16,95,197978,39865724,858325,1589735,500300.011182577,33784998.3952987,33837998.3927813,33584998.4047982,2,2,2,-160999.992352911
05:15,-16,95,197982,39865724,858325,1589759,499300.011160225,33766998.3961536,33797998.3946812,33562998.4058431,2,2,2,-163999.992210418
05:30,-15,95,197986,39865724,858325,1589783,499900.011173636,33651998.4016158,33716998.3985285,33479998.4097854,2,2,2,-159999.992400408
05:45,-15,95,197990,39865724,858325,1589807,499500.011164695,33549998.4064606,33566998.4056531,33321998.41729,2,2,2,-158999.992447906
