 Date :25/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 2 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-15,94,198610,40073356,863658,1594895,499700.011169166,33205998.4227997,33211998.4225147,33101998.4277394,2,2,2,-153999.992685393
00:15,-15,94,198613,40073356,863658,1594919,498900.011151284,33249998.4207098,33096998.4279769,33023998.4314442,2,2,2,-154999.992637895
00:30,-15,94,198617,40073356,863658,1594942,499800.011171401,33301998.41824,33289998.4188099,33152998.4253171,2,2,2,-154999.992637895
00:45,-15,95,198621,40073356,863658,1594966,499900.011173636,33514998.408123,33389998.4140602,33271998.4196649,2,2,2,-157999.992495403
01:00,-15,95,198624,40073356,863658,1594990,500000.011175871,33477998.4098804,33429998.4121603,33297998.4184299,2,2,2,-155999.992590398
01:15,-15,94,198628,40073356,863658,1595013,499600.01116693,33537998.4070306,33485998.4095004,33359998.4154851,2,2,2,-158999.992447906
01:30,-15,94,198632,40073356,863658,1595038,499700.011169166,33527998.4075055,33425998.4123503,33329998.41691,2,2,2,-157999.992495403
01:45,-15,95,198636,40073356,863658,1595060,500000.011175871,33521998.4077905,33498998.408883,33361998.4153901,2,2,2,-158999.992447906
02:00,-15,94,198640,40073356,863658,1595084,499700.011169166,33557998.4060806,33478998.4098329,33360998.4154376,2,2,2,-158999.992447906
02:15,-15,95,198643,40073356,863658,1595107,499900.011173636,33577998.4051307,33513998.4081705,33406998.4132527,2,2,2,-157999.992495403
02:30,-15,95,198647,40073356,863658,1595131,500900.011195988,33709998.398861,33593998.4043707,33491998.4092154,2,2,2,-158999.992447906
02:45,-15,95,198651,40073356,863658,1595155,500500.011187047,33669998.4007609,33621998.4030408,33490998.4092629,2,2,2,-158999.992447906
03:00,-15,95,198655,40073356,863658,1595179,500500.011187047,33690998.3997634,33669998.4007609,33589998.4045607,2,2,2,-158999.992447906
03:15,-15,94,198659,40073356,863658,1595202,499800.011171401,33685998.4000009,33660998.4011884,33555998.4061756,2,2,2,-159999.992400408
03:30,-15,94,198662,40073356,863658,1595226,500000.011175871,33682998.4001434,33677998.4003809,33553998.4062706,2,2,2,-159999.992400408
03:45,-15,94,198666,40073356,863658,1595249,499100.011155755,33703998.399146,33683998.4000959,33522998.407743,2,2,2,-161999.992305413
04:00,-15,94,198670,40073356,863658,1595273,499800.011171401,33756998.3966286,33687998.3999059,33603998.4038957,2,2,2,-161999.992305413
04:15,-15,93,198674,40073356,863658,1595296,498300.011137873,33663998.4010459,33608998.4036582,33488998.4093579,2,2,2,-163999.992210418
04:30,-15,94,198678,40073356,863658,1595320,499900.011173636,33809998.3941112,33755998.3966761,33631998.4025658,2,2,2,-161999.992305413
04:45,-16,93,198682,40073356,863658,1595343,498600.011144579,33741998.3973411,33666998.4009034,33576998.4051782,2,2,2,-164999.992162921
05:00,-15,94,198686,40073356,863658,1595367,499800.011171401,33777998.3956312,33674998.4005234,33623998.4029458,2,2,2,-161999.992305413
05:15,-16,94,198689,40073356,863658,1595390,499200.01115799,33795998.3947762,33663998.4010459,33651998.4016158,2,2,2,-163999.992210418
05:30,-16,95,198693,40073356,863658,1595414,500200.011180341,33854998.3919739,33666998.4009034,33581998.4049407,2,2,2,-161999.992305413
05:45,-15,95,198697,40073356,863658,1595437,499700.011169166,33636998.4023283,33553998.4062706,33492998.4091679,2,2,2,-158999.992447906
06:00,-21,90,198702,40073356,863658,1595461,500000.011175871,33635998.4023758,33462998.4105929,33425998.4123503,5,4,4,-227999.989170582
06:15,91,91,198703,40073364,863658,1595484,499500.011164695,33565998.4057006,33466998.4104029,33427998.4122553,5,4,5,708999.966324309
06:30,55,93,198703,40073392,863658,1595507,500300.011182577,33636998.4023283,33541998.4068406,33491998.4092154,3,3,3,508999.975823798
06:45,415,88,198703,40073469,863658,1595529,499400.01116246,33362998.4153426,33309998.41786,33273998.4195699,8,8,10,977999.953547495
07:00,823,90,198703,40073631,863658,1595553,501300.011204928,33533998.4072205,33389998.4140602,33387998.4141552,14,14,17,993999.952787536
07:15,1180,85,198703,40073870,863658,1595573,500100.011178106,33471998.4101654,33345998.4161501,33367998.4151051,20,20,23,996999.952645043
07:30,1565,77,198703,40074210,863658,1595594,500200.011180341,33303998.418145,33148998.4255071,33195998.4232747,26,27,30,998999.952550048
07:45,1476,77,198703,40074650,863658,1595612,500300.011182577,33378998.4145826,33239998.4211848,33227998.4217548,24,26,28,998999.952550048
08:00,1590,74,198703,40075176,863658,1595627,500700.011191517,33445998.4114003,33279998.4192849,33266998.4199024,26,28,30,998999.952550048
08:15,2941,30,198703,40075704,863658,1595641,500400.011184812,33522998.407743,33311998.417765,33361998.4153901,49,51,54,999999.952502551
08:30,3417,1,198703,40076452,863659,1595647,499600.01116693,33397998.4136802,33153998.4252696,33215998.4223247,57,60,62,999999.952502551
08:45,3776,-14,198703,40077344,863661,1595648,499800.011171401,33307998.417955,33104998.4275969,33233998.4214698,63,66,68,999999.952502551
09:00,4214,-46,198703,40078347,863668,1595648,500300.011182577,33506998.408503,33243998.4209948,33346998.4161026,70,74,76,999999.952502551
09:15,4601,-72,198703,40079433,863682,1595648,499600.01116693,33523998.4076955,33259998.4202348,33374998.4147726,77,80,82,999999.952502551
09:30,4987,-101,198703,40080652,863703,1595648,498900.011151284,33435998.4118753,33112998.427217,33254998.4204723,83,88,90,999999.952502551
09:45,5238,-120,198703,40081905,863730,1595648,500200.011180341,33605998.4038007,33268998.4198074,33458998.4107829,87,92,93,999999.952502551
10:00,5489,-137,198703,40083265,863764,1595648,500700.011191517,33760998.3964386,33381998.4144402,33606998.4037532,90,96,97,999999.952502551
