 Date :12/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 1 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-11,50,159612,45640479,1547505,825548,498400.011140108,33121998.4267895,33130998.426362,32750998.444411,1,1,1,-205999.990215525
00:15,-11,50,159615,45640479,1547505,825560,498600.011144579,33158998.4250321,33198998.4231322,32752998.4443161,1,1,1,-206999.990168028
00:30,-11,50,159618,45640479,1547505,825573,498500.011142344,33207998.4227047,33190998.4235122,32778998.4430811,1,1,1,-208999.990073033
00:45,-11,50,159620,45640479,1547505,825585,499400.01116246,33414998.4128727,33428998.4122078,32964998.4342466,1,1,1,-208999.990073033
01:00,-11,51,159623,45640479,1547505,825598,500000.011175871,33410998.4130627,33429998.4121603,32976998.4336766,1,1,1,-206999.990168028
01:15,-11,50,159626,45640479,1547505,825610,499900.011173636,33496998.4089779,33538998.4069831,33056998.4298768,1,1,1,-209999.990025536
01:30,-11,51,159628,45640479,1547505,825623,500500.011187047,33444998.4114478,33561998.4058906,33032998.4310168,1,1,1,-208999.990073033
01:45,-11,51,159631,45640479,1547505,825636,500500.011187047,33452998.4110678,33563998.4057956,33012998.4319667,1,1,1,-209999.990025536
02:00,-11,51,159634,45640479,1547505,825648,500600.011189282,33469998.4102604,33606998.4037532,33097998.4279294,1,1,1,-208999.990073033
02:15,-11,51,159636,45640479,1547505,825661,500500.011187047,33541998.4068406,33585998.4047507,33137998.4260295,1,1,1,-208999.990073033
02:30,-11,51,159639,45640479,1547505,825674,500700.011191517,33416998.4127777,33533998.4072205,33031998.4310643,1,1,1,-208999.990073033
02:45,-11,51,159642,45640479,1547505,825686,500700.011191517,33506998.408503,33577998.4051307,33113998.4271695,1,1,1,-209999.990025536
03:00,-11,51,159645,45640479,1547505,825699,500500.011187047,33501998.4087405,33572998.4053681,33122998.426742,1,1,1,-207999.990120531
03:15,-11,50,159647,45640479,1547505,825712,499200.01115799,33551998.4063656,33565998.4057006,33155998.4251746,1,1,1,-213999.989835546
03:30,-11,50,159650,45640479,1547505,825724,499700.011169166,33594998.4043232,33634998.4024233,33177998.4241296,1,1,1,-212999.989883043
03:45,-11,51,159653,45640479,1547505,825737,500200.011180341,33670998.4007134,33623998.4029458,33246998.4208523,1,1,1,-211999.989930541
04:00,-11,51,159656,45640479,1547505,825750,500000.011175871,33648998.4017583,33609998.4036107,33231998.4215648,1,1,1,-213999.989835546
04:15,-11,50,159658,45640479,1547505,825762,499500.011164695,33631998.4025658,33596998.4042282,33142998.425792,1,1,1,-212999.989883043
04:30,-11,51,159661,45640479,1547505,825775,500300.011182577,33682998.4001434,33629998.4026608,33144998.4256971,1,1,1,-212999.989883043
04:45,-11,50,159664,45640479,1547505,825788,499500.011164695,33638998.4022333,33588998.4046082,33127998.4265045,1,1,1,-211999.989930541
05:00,-11,51,159667,45640479,1547505,825800,500900.011195988,33680998.4002384,33663998.4010459,33147998.4255546,1,1,1,-210999.989978038
05:15,-11,51,159669,45640479,1547505,825813,500500.011187047,33745998.3971511,33684998.4000484,33249998.4207098,1,1,1,-212999.989883043
05:30,-11,51,159672,45640479,1547505,825826,500600.011189282,33644998.4019483,33603998.4038957,33148998.4255071,1,1,1,-209999.990025536
05:45,-11,51,159675,45640479,1547505,825838,500100.011178106,33470998.4102129,33442998.4115428,32982998.4333916,1,1,1,-208999.990073033
06:00,-11,51,159678,45640479,1547505,825851,501000.011198223,33442998.4115428,33505998.4085505,32991998.4329642,1,1,1,-207999.990120531
06:15,20,37,159681,45640479,1547505,825862,500200.011180341,33366998.4151526,33312998.4177175,32905998.4370489,5,5,5,479999.977201224
06:30,160,33,159681,45640500,1547505,825871,499900.011173636,33215998.4223247,33196998.4232272,32732998.445266,6,5,5,978999.953499997
06:45,408,33,159681,45640549,1547505,825881,500600.011189282,33218998.4221822,33215998.4223247,32736998.445076,9,8,8,996999.952645043
07:00,786,28,159681,45640694,1547505,825889,500200.011180341,33141998.4258395,33124998.426647,32736998.445076,15,14,14,998999.952550048
07:15,1206,21,159681,45640941,1547505,825895,499800.011171401,33083998.4285944,33114998.427122,32695998.4470234,23,21,21,999999.952502551
07:30,1663,12,159681,45641299,1547506,825900,500100.011178106,32952998.4348166,33025998.4313492,32544998.4541955,31,29,28,999999.952502551
07:45,2193,-5,159681,45641778,1547507,825902,500400.011184812,32996998.4327267,33185998.4237497,32684998.4475459,40,39,37,999999.952502551
08:00,2664,-20,159681,45642385,1547511,825903,500500.011187047,33143998.4257445,33205998.4227997,32772998.4433661,48,47,46,999999.952502551
08:15,3116,-35,159681,45643112,1547518,825903,500100.011178106,33308998.4179075,33469998.4102604,33005998.4322992,55,55,53,999999.952502551
08:30,3626,-66,159681,45643954,1547531,825903,500200.011180341,33221998.4220397,33392998.4139177,32925998.436099,64,64,62,999999.952502551
08:45,4115,-95,159681,45644925,1547551,825903,500000.011175871,33344998.4161976,33430998.4121128,33020998.4315867,73,72,70,999999.952502551
09:00,4519,-122,159681,45646005,1547579,825903,500700.011191517,33283998.4190949,33397998.4136802,32905998.4370489,80,79,77,999999.952502551
09:15,4910,-152,159681,45647183,1547613,825903,499000.011153519,33203998.4228947,33334998.4166725,32913998.436669,87,86,84,999999.952502551
09:30,5291,-188,159681,45648455,1547655,825903,500100.011178106,33188998.4236072,33378998.4145826,32967998.4341041,93,93,90,-998999.952550048
