 Date :18/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 1 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-11,51,160295,45859040,1555587,829123,500700.011191517,33320998.4173375,33399998.4135852,32885998.4379989,1,1,1,-207999.990120531
00:15,-11,51,160298,45859040,1555587,829136,499700.011169166,33202998.4229422,33313998.41767,32746998.444601,1,1,1,-207999.990120531
00:30,-11,51,160301,45859040,1555587,829148,500400.011184812,33184998.4237972,33340998.4163876,32734998.445171,1,1,1,-207999.990120531
00:45,-11,51,160304,45859040,1555587,829161,500000.011175871,33356998.4156276,33360998.4154376,32818998.4411812,1,1,1,-206999.990168028
01:00,-11,51,160306,45859040,1555587,829174,500100.011178106,33263998.4200449,33353998.4157701,32766998.4436511,1,1,1,-207999.990120531
01:15,-11,51,160309,45859040,1555587,829186,500500.011187047,33396998.4137277,33373998.4148201,32902998.4371914,1,1,1,-207999.990120531
01:30,-11,51,160312,45859040,1555587,829199,500100.011178106,33279998.4192849,33404998.4133477,32810998.4415612,1,1,1,-208999.990073033
01:45,-11,51,160314,45859040,1555587,829212,500500.011187047,33369998.4150101,33391998.4139652,32865998.4389488,1,1,1,-206999.990168028
02:00,-11,51,160317,45859040,1555587,829225,499900.011173636,33300998.4182874,33372998.4148676,32824998.4408962,1,1,1,-208999.990073033
02:15,-11,51,160320,45859040,1555587,829237,500100.011178106,33267998.4198549,33405998.4133002,32815998.4413237,1,1,1,-206999.990168028
02:30,-11,51,160322,45859040,1555587,829250,499700.011169166,33345998.4161501,33338998.4164825,32818998.4411812,1,1,1,-208999.990073033
02:45,-11,51,160325,45859040,1555587,829263,499400.01116246,33300998.4182874,33303998.418145,32788998.4426061,1,1,1,-208999.990073033
03:00,-11,51,160328,45859040,1555587,829275,500200.011180341,33329998.41691,33378998.4145826,32831998.4405638,1,1,1,-205999.990215525
03:15,-11,51,160331,45859040,1555587,829289,499500.011164695,33310998.4178125,33281998.4191899,32798998.4421312,1,1,1,-207999.990120531
03:30,-11,51,160333,45859040,1555587,829301,499400.01116246,33257998.4203298,33327998.417005,32759998.4439836,1,1,1,-207999.990120531
03:45,-11,51,160336,45859040,1555587,829314,500000.011175871,33306998.4180025,33375998.4147251,32826998.4408012,1,1,1,-207999.990120531
04:00,-11,51,160339,45859040,1555587,829326,500100.011178106,33361998.4153901,33497998.4089305,32900998.4372864,1,1,1,-207999.990120531
04:15,-11,51,160341,45859040,1555587,829339,499700.011169166,33400998.4135377,33393998.4138702,32950998.4349116,1,1,1,-208999.990073033
04:30,-11,51,160344,45859040,1555587,829352,499700.011169166,33453998.4110203,33413998.4129202,32956998.4346266,1,1,1,-209999.990025536
04:45,-11,51,160347,45859040,1555587,829365,499800.011171401,33437998.4117803,33493998.4091204,32948998.4350066,1,1,1,-209999.990025536
05:00,-11,51,160349,45859040,1555587,829377,499100.011155755,33364998.4152476,33430998.4121128,32905998.4370489,1,1,1,-209999.990025536
05:15,-11,51,160352,45859040,1555587,829390,500400.011184812,33449998.4112103,33432998.4120178,32967998.4341041,1,1,1,-208999.990073033
05:30,-11,51,160355,45859040,1555587,829403,500200.011180341,33350998.4159126,33383998.4143452,32868998.4388063,1,1,1,-208999.990073033
05:45,-11,50,160358,45859040,1555587,829416,498800.011149049,33153998.4252696,33178998.4240821,32655998.4489233,1,1,1,-206999.990168028
06:00,-24,41,160361,45859040,1555587,829428,499900.011173636,33201998.4229897,33260998.4201873,32690998.4472609,3,4,4,-510999.975728804
06:15,61,35,160363,45859044,1555587,829437,499800.011171401,33081998.4286894,33214998.4223722,32623998.4504432,6,6,6,869999.958677219
06:30,121,42,160363,45859075,1555587,829446,500100.011178106,33050998.4301618,33155998.4251746,32578998.4525806,4,4,4,944999.955114911
06:45,522,34,160363,45859151,1555587,829456,500700.011191517,33142998.425792,33251998.4206148,32760998.4439361,11,10,9,997999.952597546
07:00,888,28,160363,45859325,1555588,829463,499900.011173636,33045998.4303993,33152998.4253171,32688998.4473559,17,16,15,999999.952502551
07:15,1370,19,160363,45859614,1555588,829469,500400.011184812,32944998.4351965,33074998.4290219,32603998.4513932,26,24,23,999999.952502551
07:30,1876,5,160363,45860010,1555589,829473,500100.011178106,33417998.4127302,33582998.4048932,33103998.4276444,34,33,31,999999.952502551
07:45,2442,-10,160363,45860560,1555591,829474,499800.011171401,33410998.4130627,33645998.4019008,33167998.4246046,43,43,41,999999.952502551
08:00,2961,-33,160363,45861229,1555596,829475,500400.011184812,33591998.4044657,33715998.398576,33301998.41824,52,51,50,999999.952502551
08:15,3520,-57,160363,45862066,1555608,829475,500100.011178106,33570998.4054631,33775998.3957262,33323998.417195,62,62,59,999999.952502551
08:30,3999,-85,160363,45862976,1555625,829475,500500.011187047,33676998.4004284,33897998.3899315,33428998.4122078,70,70,67,999999.952502551
08:45,4495,-117,160363,45864067,1555651,829475,500400.011184812,33476998.4099279,33777998.3956312,33317998.41748,78,79,75,999999.952502551
09:00,4927,-147,160363,45865219,1555683,829475,500600.011189282,33615998.4033258,33798998.3946337,33387998.4141552,86,86,83,999999.952502551
09:15,5338,-182,160363,45866502,1555724,829475,500300.011182577,33533998.4072205,33838998.3927338,33316998.4175275,93,94,89,-998999.952550048
09:30,5729,-218,160363,45867892,1555774,829475,500600.011189282,33493998.4091204,33777998.3956312,33324998.4171475,100,100,96,-998999.952550048
