,Power,DateTime
142,1243.0,2018-08-23 12:30:00
143,1791.0,2018-08-23 12:40:00
144,917.0,2018-08-23 12:50:00
145,710.0,2018-08-23 13:00:00
146,1663.0,2018-08-23 13:10:00
147,1477.0,2018-08-23 13:20:00
148,1945.0,2018-08-23 13:30:00
149,1822.0,2018-08-23 13:40:00
150,933.0,2018-08-23 13:50:00
151,3880.0,2018-08-23 14:00:00
152,3291.0,2018-08-23 14:10:00
153,3397.0,2018-08-23 14:20:00
154,2188.0,2018-08-23 14:30:00
155,1450.0,2018-08-23 14:40:00
156,1286.0,2018-08-23 14:50:00
157,1195.0,2018-08-23 15:00:00
158,1236.0,2018-08-23 15:10:00
159,1388.0,2018-08-23 15:20:00
160,1080.0,2018-08-23 15:30:00
161,1170.0,2018-08-23 15:40:00
162,1124.0,2018-08-23 15:50:00
163,1279.0,2018-08-23 16:00:00
164,1299.0,2018-08-23 16:10:00
165,1686.0,2018-08-23 16:20:00
166,1419.0,2018-08-23 16:30:00
167,1479.0,2018-08-23 16:40:00
168,1385.0,2018-08-23 16:50:00
169,1270.0,2018-08-23 17:00:00
170,1388.0,2018-08-23 17:10:00
171,1071.0,2018-08-23 17:20:00
172,694.0,2018-08-23 17:30:00
173,484.0,2018-08-23 17:40:00
174,332.0,2018-08-23 17:50:00
175,252.0,2018-08-23 18:00:00
176,176.0,2018-08-23 18:10:00
177,103.0,2018-08-23 18:20:00
178,46.0,2018-08-23 18:30:00
179,-24.0,2018-08-23 18:40:00
180,-46.0,2018-08-23 18:50:00
181,-54.0,2018-08-23 19:00:00
182,-33.0,2018-08-23 19:10:00
183,-15.0,2018-08-23 19:20:00
184,-15.0,2018-08-23 19:30:00
185,-15.0,2018-08-23 19:40:00
186,-15.0,2018-08-23 19:50:00
187,-15.0,2018-08-23 20:00:00
188,-15.0,2018-08-23 20:10:00
189,-15.0,2018-08-23 20:20:00
190,-15.0,2018-08-23 20:30:00
191,-15.0,2018-08-23 20:40:00
192,-15.0,2018-08-23 20:50:00
193,-15.0,2018-08-23 21:00:00
194,-15.0,2018-08-23 21:10:00
195,-15.0,2018-08-23 21:20:00
196,-15.0,2018-08-23 21:30:00
197,-15.0,2018-08-23 21:40:00
198,-15.0,2018-08-23 21:50:00
199,-15.0,2018-08-23 22:00:00
200,-15.0,2018-08-23 22:10:00
201,-15.0,2018-08-23 22:20:00
202,-15.0,2018-08-23 22:30:00
203,-15.0,2018-08-23 22:40:00
204,-15.0,2018-08-23 22:50:00
205,-15.0,2018-08-23 23:00:00
206,-15.0,2018-08-23 23:10:00
207,-15.0,2018-08-23 23:20:00
208,-15.0,2018-08-24 00:00:00
209,-15.0,2018-08-24 00:10:00
210,-15.0,2018-08-24 00:30:00
211,-15.0,2018-08-24 00:40:00
212,-15.0,2018-08-24 00:50:00
213,-15.0,2018-08-24 01:00:00
214,-16.0,2018-08-24 01:10:00
215,-15.0,2018-08-24 01:20:00
216,-16.0,2018-08-24 01:30:00
217,-16.0,2018-08-24 01:40:00
218,-15.0,2018-08-24 01:50:00
219,-16.0,2018-08-24 02:00:00
220,-16.0,2018-08-24 02:10:00
221,-16.0,2018-08-24 02:20:00
222,-16.0,2018-08-24 02:30:00
223,-16.0,2018-08-24 02:40:00
224,-16.0,2018-08-24 02:50:00
225,-16.0,2018-08-24 03:00:00
226,-16.0,2018-08-24 03:10:00
227,-16.0,2018-08-24 03:20:00
228,-16.0,2018-08-24 03:30:00
229,-16.0,2018-08-24 03:40:00
230,-16.0,2018-08-24 03:50:00
231,-16.0,2018-08-24 04:00:00
232,-16.0,2018-08-24 04:10:00
233,-16.0,2018-08-24 04:20:00
234,-16.0,2018-08-24 04:30:00
235,-16.0,2018-08-24 04:40:00
236,-16.0,2018-08-24 04:50:00
237,-16.0,2018-08-24 05:00:00
238,-16.0,2018-08-24 05:10:00
239,-16.0,2018-08-24 05:20:00
240,-16.0,2018-08-24 05:30:00
241,-16.0,2018-08-24 05:40:00
242,-15.0,2018-08-24 05:50:00
243,-16.0,2018-08-24 06:00:00
244,-15.0,2018-08-24 06:10:00
245,2.0,2018-08-24 06:20:00
246,49.0,2018-08-24 06:30:00
247,109.0,2018-08-24 06:40:00
248,241.0,2018-08-24 06:50:00
249,412.0,2018-08-24 07:00:00
250,671.0,2018-08-24 07:10:00
251,841.0,2018-08-24 07:20:00
252,374.0,2018-08-24 07:30:00
253,216.0,2018-08-24 07:40:00
254,479.0,2018-08-24 07:50:00
255,758.0,2018-08-24 08:00:00
256,399.0,2018-08-24 08:10:00
257,869.0,2018-08-24 08:20:00
258,1473.0,2018-08-24 08:30:00
259,1610.0,2018-08-24 08:40:00
260,1916.0,2018-08-24 08:50:00
261,2017.0,2018-08-24 09:00:00
262,2123.0,2018-08-24 09:10:00
263,2090.0,2018-08-24 09:20:00
264,2305.0,2018-08-24 09:30:00
265,2009.0,2018-08-24 09:40:00
266,2111.0,2018-08-24 09:50:00
267,1180.0,2018-08-24 10:00:00
268,1035.0,2018-08-24 10:10:00
269,3612.0,2018-08-24 10:20:00
270,2757.0,2018-08-24 10:30:00
271,3400.0,2018-08-24 10:40:00
272,3205.0,2018-08-24 10:50:00
273,2782.0,2018-08-24 11:00:00
274,3139.0,2018-08-24 11:10:00
275,3031.0,2018-08-24 11:20:00
276,1863.0,2018-08-24 11:30:00
277,3134.0,2018-08-24 11:40:00
278,2064.0,2018-08-24 11:50:00
279,2710.0,2018-08-24 12:00:00
280,2688.0,2018-08-24 12:10:00
281,2489.0,2018-08-24 12:20:00
282,2617.0,2018-08-24 12:30:00
283,1953.0,2018-08-24 13:20:00
284,2132.0,2018-08-24 13:30:00
285,4248.0,2018-08-24 13:40:00
286,3030.0,2018-08-24 13:50:00
287,2956.0,2018-08-24 14:00:00
288,2519.0,2018-08-24 14:10:00
289,3375.0,2018-08-24 14:20:00
290,4467.0,2018-08-24 14:30:00
291,3290.0,2018-08-24 14:40:00
292,3271.0,2018-08-24 14:50:00
293,-15.0,2018-08-24 19:50:00
294,-15.0,2018-08-24 20:00:00
295,-15.0,2018-08-24 20:10:00
296,-15.0,2018-08-24 20:20:00
297,-15.0,2018-08-24 20:30:00
298,-15.0,2018-08-24 20:40:00
299,-15.0,2018-08-24 20:50:00
300,-15.0,2018-08-24 21:00:00
301,-15.0,2018-08-24 21:10:00
302,-15.0,2018-08-24 21:20:00
303,-15.0,2018-08-24 21:30:00
304,-15.0,2018-08-24 21:40:00
305,-15.0,2018-08-24 21:50:00
306,-15.0,2018-08-24 22:00:00
307,-15.0,2018-08-24 22:10:00
308,-15.0,2018-08-24 22:20:00
309,-15.0,2018-08-24 22:30:00
310,-15.0,2018-08-24 22:40:00
311,-15.0,2018-08-24 22:50:00
312,-15.0,2018-08-24 23:00:00
313,-15.0,2018-08-24 23:10:00
314,-15.0,2018-08-24 23:20:00
315,-15.0,2018-08-24 23:30:00
316,-15.0,2018-08-24 23:40:00
317,-15.0,2018-08-24 23:50:00
318,-16.0,2018-08-26 00:00:00
319,-15.0,2018-08-26 00:10:00
320,-15.0,2018-08-26 00:20:00
321,-15.0,2018-08-26 00:30:00
322,-15.0,2018-08-26 00:40:00
323,-16.0,2018-08-26 00:50:00
324,-16.0,2018-08-26 01:00:00
325,-15.0,2018-08-26 01:10:00
326,-16.0,2018-08-26 01:20:00
327,-16.0,2018-08-26 01:30:00
328,-16.0,2018-08-26 01:40:00
329,-15.0,2018-08-26 01:50:00
330,-16.0,2018-08-26 02:00:00
331,-16.0,2018-08-26 02:10:00
332,-16.0,2018-08-26 02:20:00
333,-16.0,2018-08-26 02:30:00
334,-16.0,2018-08-26 02:40:00
335,-16.0,2018-08-26 02:50:00
336,-16.0,2018-08-26 03:00:00
337,-16.0,2018-08-26 03:10:00
338,-16.0,2018-08-26 03:20:00
339,-16.0,2018-08-26 03:30:00
340,-16.0,2018-08-26 03:40:00
341,-16.0,2018-08-26 03:50:00
342,-16.0,2018-08-26 04:00:00
343,-16.0,2018-08-26 04:10:00
344,-16.0,2018-08-26 04:20:00
345,-16.0,2018-08-26 04:30:00
346,-16.0,2018-08-26 04:40:00
347,-16.0,2018-08-26 04:50:00
348,-16.0,2018-08-26 05:00:00
349,-16.0,2018-08-26 05:10:00
350,-16.0,2018-08-26 05:20:00
351,-16.0,2018-08-26 05:30:00
352,-16.0,2018-08-26 05:40:00
353,-16.0,2018-08-26 05:50:00
354,-16.0,2018-08-26 06:00:00
355,-15.0,2018-08-26 06:10:00
356,-12.0,2018-08-26 06:20:00
357,56.0,2018-08-26 06:30:00
358,61.0,2018-08-26 06:40:00
359,77.0,2018-08-26 06:50:00
360,172.0,2018-08-26 07:00:00
361,284.0,2018-08-26 07:10:00
362,387.0,2018-08-26 07:20:00
363,658.0,2018-08-26 07:30:00
364,1226.0,2018-08-26 07:40:00
365,1336.0,2018-08-26 07:50:00
366,1099.0,2018-08-26 08:00:00
367,1025.0,2018-08-26 08:10:00
368,1730.0,2018-08-26 08:20:00
369,1298.0,2018-08-26 08:30:00
370,1916.0,2018-08-26 08:40:00
371,1690.0,2018-08-26 08:50:00
372,1720.0,2018-08-26 09:00:00
373,1983.0,2018-08-26 09:10:00
374,2860.0,2018-08-26 09:20:00
375,3804.0,2018-08-26 09:30:00
376,3370.0,2018-08-26 09:40:00
377,2445.0,2018-08-26 09:50:00
378,3719.0,2018-08-26 10:00:00
379,2442.0,2018-08-26 10:10:00
380,2639.0,2018-08-26 10:20:00
381,3729.0,2018-08-26 10:30:00
382,5243.0,2018-08-26 10:40:00
383,3340.0,2018-08-26 10:50:00
384,1441.0,2018-08-26 11:00:00
385,4181.0,2018-08-26 11:10:00
386,2572.0,2018-08-26 11:20:00
387,3410.0,2018-08-26 11:30:00
388,8006.0,2018-08-26 11:40:00
389,3932.0,2018-08-26 11:50:00
390,4027.0,2018-08-26 12:00:00
391,5757.0,2018-08-26 12:10:00
392,6318.0,2018-08-26 12:20:00
393,6160.0,2018-08-26 12:30:00
394,5010.0,2018-08-26 12:40:00
395,4514.0,2018-08-26 12:50:00
396,3619.0,2018-08-26 13:00:00
397,-17.0,2018-08-26 13:10:00
398,6177.0,2018-08-26 13:20:00
399,6318.0,2018-08-26 13:30:00
400,3871.0,2018-08-26 13:40:00
401,3605.0,2018-08-26 13:50:00
402,2607.0,2018-08-26 14:00:00
403,1818.0,2018-08-26 14:10:00
404,1761.0,2018-08-26 14:20:00
405,3075.0,2018-08-26 14:30:00
406,0.0,2018-08-26 14:40:00
407,0.0,2018-08-26 14:50:00
408,-18.0,2018-08-26 15:30:00
409,-18.0,2018-08-26 15:40:00
410,1917.0,2018-08-26 15:50:00
411,1791.0,2018-08-26 16:00:00
412,1283.0,2018-08-26 16:10:00
413,940.0,2018-08-26 16:20:00
414,1791.0,2018-08-26 16:30:00
415,1982.0,2018-08-26 16:40:00
416,2068.0,2018-08-26 16:50:00
417,1750.0,2018-08-26 17:00:00
418,1454.0,2018-08-26 17:10:00
419,1200.0,2018-08-26 17:20:00
420,768.0,2018-08-26 17:30:00
421,887.0,2018-08-26 17:40:00
422,1103.0,2018-08-26 17:50:00
423,753.0,2018-08-26 18:00:00
424,433.0,2018-08-26 18:10:00
425,158.0,2018-08-26 18:20:00
426,68.0,2018-08-26 18:30:00
427,14.0,2018-08-26 18:40:00
428,-21.0,2018-08-26 18:50:00
429,-53.0,2018-08-26 19:00:00
430,4418.0,2018-08-27 09:50:00
431,2998.0,2018-08-27 10:00:00
432,3857.0,2018-08-27 10:10:00
433,5315.0,2018-08-27 10:20:00
434,2064.0,2018-08-27 10:30:00
435,3231.0,2018-08-27 10:40:00
436,2424.0,2018-08-27 10:50:00
437,3617.0,2018-08-27 11:00:00
438,5340.0,2018-08-27 11:10:00
439,0.0,2018-08-27 11:20:00
440,7625.0,2018-08-27 11:30:00
441,0.0,2018-08-27 11:40:00
442,0.0,2018-08-27 11:50:00
443,-24.0,2018-08-27 12:00:00
444,2693.0,2018-08-27 12:10:00
